iter	Passed	Remaining
0	193	193576
1	207	103414
2	220	73291
3	233	58223
4	245	48876
5	258	42787
6	270	38329
7	281	34946
8	292	32239
9	304	30133
10	315	28409
11	327	26965
12	338	25720
13	349	24638
14	361	23721
15	372	22919
16	383	22202
17	394	21545
18	406	20994
19	418	20498
20	429	20022
21	440	19584
22	451	19194
23	463	18837
24	475	18527
25	486	18225
26	497	17933
27	509	17673
28	520	17433
29	531	17195
30	542	16961
31	553	16744
32	564	16545
33	575	16350
34	586	16158
35	597	15998
36	608	15824
37	619	15689
38	630	15546
39	642	15411
40	652	15267
41	664	15165
42	675	15031
43	686	14908
44	697	14796
45	707	14677
46	718	14569
47	729	14468
48	740	14362
49	751	14272
50	762	14189
51	773	14092
52	785	14033
53	798	13989
54	812	13965
55	829	13980
56	844	13969
57	858	13946
58	874	13948
59	886	13896
60	902	13890
61	913	13827
62	925	13762
63	936	13690
64	945	13603
65	957	13546
66	967	13466
67	977	13398
68	987	13320
69	998	13260
70	1008	13195
71	1019	13139
72	1029	13074
73	1041	13026
74	1051	12971
75	1061	12904
76	1071	12849
77	1082	12801
78	1092	12736
79	1102	12679
80	1111	12615
81	1122	12565
82	1132	12515
83	1145	12495
84	1167	12570
85	1185	12594
86	1203	12628
87	1217	12614
88	1231	12602
89	1246	12604
90	1260	12586
91	1273	12571
92	1286	12548
93	1299	12523
94	1310	12482
95	1320	12437
96	1332	12408
97	1344	12371
98	1356	12346
99	1368	12320
100	1380	12286
101	1393	12269
102	1406	12249
103	1417	12215
104	1428	12179
105	1440	12145
106	1455	12148
107	1470	12146
108	1482	12117
109	1493	12081
110	1504	12051
111	1516	12019
112	1529	12003
113	1540	11974
114	1552	11946
115	1562	11908
116	1573	11874
117	1583	11838
118	1595	11813
119	1608	11793
120	1619	11763
121	1629	11726
122	1640	11697
123	1650	11659
124	1659	11619
125	1671	11595
126	1682	11568
127	1693	11537
128	1703	11501
129	1714	11473
130	1728	11465
131	1739	11435
132	1750	11409
133	1760	11375
134	1771	11351
135	1781	11320
136	1791	11283
137	1802	11259
138	1811	11222
139	1822	11197
140	1832	11165
141	1842	11134
142	1853	11110
143	1863	11078
144	1873	11044
145	1883	11016
146	1893	10986
147	1902	10954
148	1916	10946
149	1928	10929
150	1939	10902
151	1949	10877
152	1960	10852
153	1970	10824
154	1980	10796
155	1990	10768
156	2000	10741
157	2009	10711
158	2020	10688
159	2033	10675
160	2043	10648
161	2054	10626
162	2065	10604
163	2075	10581
164	2086	10561
165	2097	10537
166	2107	10511
167	2117	10487
168	2128	10466
169	2138	10439
170	2149	10420
171	2160	10400
172	2171	10379
173	2183	10363
174	2193	10339
175	2203	10317
176	2215	10300
177	2225	10275
178	2235	10254
179	2246	10232
180	2256	10208
181	2267	10191
182	2279	10174
183	2288	10149
184	2298	10127
185	2309	10108
186	2321	10091
187	2330	10067
188	2341	10048
189	2351	10023
190	2363	10008
191	2373	9987
192	2382	9962
193	2394	9948
194	2406	9933
195	2416	9910
196	2426	9891
197	2438	9877
198	2448	9855
199	2458	9833
200	2468	9813
201	2478	9790
202	2488	9768
203	2498	9750
204	2510	9734
205	2520	9713
206	2532	9701
207	2542	9680
208	2552	9660
209	2562	9639
210	2571	9616
211	2582	9597
212	2593	9581
213	2604	9565
214	2613	9543
215	2624	9525
216	2634	9506
217	2645	9489
218	2655	9471
219	2667	9457
220	2677	9436
221	2687	9417
222	2696	9396
223	2707	9378
224	2717	9360
225	2730	9349
226	2740	9331
227	2751	9316
228	2761	9298
229	2773	9284
230	2783	9266
231	2794	9249
232	2805	9235
233	2815	9217
234	2825	9198
235	2836	9181
236	2846	9163
237	2857	9149
238	2869	9136
239	2879	9119
240	2892	9110
241	2903	9094
242	2913	9075
243	2922	9055
244	2932	9038
245	2943	9021
246	2953	9002
247	2963	8987
248	2974	8969
249	2983	8951
250	2994	8936
251	3005	8920
252	3015	8903
253	3025	8885
254	3035	8868
255	3044	8848
256	3055	8832
257	3065	8817
258	3076	8802
259	3085	8783
260	3095	8765
261	3104	8745
262	3115	8731
263	3126	8715
264	3136	8698
265	3146	8682
266	3156	8665
267	3166	8649
268	3177	8634
269	3187	8618
270	3196	8599
271	3206	8581
272	3217	8568
273	3229	8556
274	3238	8539
275	3249	8524
276	3260	8509
277	3270	8494
278	3280	8478
279	3290	8462
280	3300	8444
281	3310	8428
282	3321	8415
283	3332	8402
284	3342	8385
285	3351	8367
286	3363	8355
287	3373	8340
288	3384	8327
289	3395	8312
290	3404	8295
291	3414	8280
292	3425	8264
293	3437	8255
294	3449	8244
295	3459	8228
296	3470	8213
297	3479	8197
298	3491	8186
299	3501	8171
300	3511	8155
301	3521	8139
302	3532	8126
303	3541	8109
304	3552	8095
305	3563	8081
306	3574	8068
307	3584	8054
308	3595	8040
309	3607	8029
310	3618	8017
